product_id,title,category,description,price,stock_available,view_count,number_of_reviews,average_rating,reviews
P1020,Network Switch,Networking,"Perfect for work, play, and everything in between",1775.72,False,8673,40,2.7,Could be better|Poor customer service|Not worth the price
P1021,"OLED TV 65""",TVs,Equipped with the latest technology,1927.11,True,8116,482,2.6,Great value for money|Not worth the price|Highly recommend
P1022,Smartwatch with GPS,Wearables,User-friendly design and long battery life,302.97,False,640,305,2.7,Battery lasts long|Poor customer service|Amazing features
P1023,Ergonomic Mouse,Computer Accessories,User-friendly design and long battery life,520.38,True,6366,457,3.0,Excellent quality|Amazing features|Great value for money
P1024,"Smart LED TV 43""",TVs,"Perfect for work, play, and everything in between",258.11,True,8715,157,4.2,Could be better|Great value for money|Poor customer service
P1025,Fitness Tracker,Wearables,"Perfect for work, play, and everything in between",1180.42,True,1938,278,2.4,Highly recommend|Excellent quality|Amazing features
P1026,Smart Microwave,Home Appliances,Equipped with the latest technology,839.37,False,3095,292,3.6,Poor customer service|Excellent quality|Would buy again
P1027,Budget Smartphone,Mobile Phones,High performance and reliability for daily use,1552.91,False,4068,155,2.2,Amazing features|Highly recommend|Poor customer service
P1028,Smartwatch with GPS,Wearables,High performance and reliability for daily use,1040.07,True,6923,330,3.0,Poor customer service|Great value for money|Amazing features
P1029,Gaming Laptop 16GB RAM,Laptops,User-friendly design and long battery life,436.4,True,6517,371,3.4,Could be better|Great value for money|Amazing features
P1030,Action Camera,Cameras,Equipped with the latest technology,295.49,False,9391,217,1.3,Battery lasts long|Amazing features|Could be better
P1031,DSLR Camera,Cameras,"Compact, stylish, and powerful",671.41,True,4904,335,2.6,Could be better|Amazing features|Very satisfied
P1032,External SSD 1TB,Computer Accessories,User-friendly design and long battery life,1873.83,False,3498,27,1.4,Battery lasts long|Amazing features|Very satisfied
P1033,"OLED TV 65""",TVs,High performance and reliability for daily use,1871.47,False,1730,424,1.6,Highly recommend|Not worth the price|Excellent quality
P1034,Air Purifier,Home Appliances,"Perfect for work, play, and everything in between",1805.12,False,516,340,4.6,Highly recommend|Amazing features|Could be better
P1035,Gaming Laptop 16GB RAM,Laptops,"Compact, stylish, and powerful",1783.97,False,6429,425,1.9,Excellent quality|Battery lasts long|Very satisfied
P1036,Robot Vacuum,Home Appliances,"Compact, stylish, and powerful",1395.56,False,3841,170,2.5,Could be better|Amazing features|Battery lasts long
P1037,Smartwatch with GPS,Wearables,Equipped with the latest technology,800.04,True,376,220,4.2,Amazing features|Very satisfied|Could be better
P1038,Wireless Gaming Mouse,Gaming,User-friendly design and long battery life,1489.76,True,2843,304,2.4,Excellent quality|Highly recommend|Great value for money
P1039,USB-C Hub,Computer Accessories,"Compact, stylish, and powerful",1615.11,False,3336,85,2.8,Poor customer service|Great value for money|Could be better
P1040,"Business Laptop 15""",Laptops,"Compact, stylish, and powerful",1401.89,True,9157,133,4.5,Excellent quality|Battery lasts long|Very satisfied
P1041,"Ultrabook 13""",Laptops,High performance and reliability for daily use,263.94,True,3845,419,2.8,Very satisfied|Amazing features|Great value for money
P1042,"Ultrabook 13""",Laptops,High performance and reliability for daily use,1369.26,True,5738,148,2.0,Could be better|Highly recommend|Great value for money
P1043,Wi-Fi 6 Router,Networking,Equipped with the latest technology,159.97,True,1096,10,4.1,Amazing features|Great value for money|Could be better
P1044,"OLED TV 65""",TVs,Equipped with the latest technology,507.97,False,1804,138,2.5,Not worth the price|Excellent quality|Could be better
P1045,Mechanical Gaming Keyboard,Gaming,High performance and reliability for daily use,475.25,True,3149,439,3.5,Very satisfied|Could be better|Highly recommend
P1046,Action Camera,Cameras,Equipped with the latest technology,552.78,False,2855,262,2.5,Could be better|Highly recommend|Poor customer service
P1047,5G Android Phone,Mobile Phones,"Perfect for work, play, and everything in between",187.26,False,9022,8,2.6,Highly recommend|Amazing features|Could be better
P1048,Mirrorless Camera,Cameras,"Perfect for work, play, and everything in between",1841.94,True,2892,67,1.3,Amazing features|Not worth the price|Could be better
P1049,Network Switch,Networking,High performance and reliability for daily use,117.12,False,8207,354,1.4,Highly recommend|Very satisfied|Poor customer service
P1050,Wireless Gaming Mouse,Gaming,"Perfect for work, play, and everything in between",232.32,False,4424,387,1.1,Not worth the price|Battery lasts long|Would buy again
P1051,Wireless Noise Cancelling Headphones,Audio,"Compact, stylish, and powerful",1960.41,False,3211,175,1.4,Would buy again|Highly recommend|Excellent quality
P1052,"Ultrabook 13""",Laptops,Equipped with the latest technology,504.29,False,415,378,4.7,Not worth the price|Could be better|Highly recommend
P1053,Ergonomic Mouse,Computer Accessories,"Perfect for work, play, and everything in between",1804.24,False,7937,22,3.6,Great value for money|Could be better|Very satisfied
P1054,Air Purifier,Home Appliances,User-friendly design and long battery life,1755.85,True,8483,13,2.2,Great value for money|Amazing features|Would buy again
P1055,Network Switch,Networking,High performance and reliability for daily use,802.98,False,1195,324,4.0,Very satisfied|Amazing features|Excellent quality
P1056,Smartwatch with GPS,Wearables,User-friendly design and long battery life,640.32,True,4061,112,2.2,Highly recommend|Battery lasts long|Could be better
P1057,"Smart LED TV 43""",TVs,High performance and reliability for daily use,1915.17,False,3961,7,2.3,Excellent quality|Would buy again|Not worth the price
P1058,Smartwatch with GPS,Wearables,"Compact, stylish, and powerful",637.88,True,9481,171,3.6,Excellent quality|Would buy again|Amazing features
P1059,External SSD 1TB,Computer Accessories,User-friendly design and long battery life,1846.12,False,1434,336,2.9,Very satisfied|Highly recommend|Poor customer service
P1060,Mesh Wi-Fi System,Networking,High performance and reliability for daily use,1466.95,False,7197,335,4.1,Excellent quality|Great value for money|Highly recommend
P1061,"Ultrabook 13""",Laptops,Equipped with the latest technology,331.17,False,5853,36,1.6,Could be better|Highly recommend|Battery lasts long
P1062,"4K UHD Smart TV 55""",TVs,"Compact, stylish, and powerful",395.01,True,363,468,3.5,Not worth the price|Would buy again|Excellent quality
P1063,"Smart LED TV 43""",TVs,High performance and reliability for daily use,1352.06,False,613,36,4.4,Not worth the price|Amazing features|Could be better
P1064,Mechanical Gaming Keyboard,Gaming,User-friendly design and long battery life,1997.16,False,7749,363,2.9,Would buy again|Not worth the price|Could be better
P1065,"OLED TV 65""",TVs,"Perfect for work, play, and everything in between",1924.7,True,4764,330,4.0,Would buy again|Could be better|Very satisfied
P1066,"OLED TV 65""",TVs,"Compact, stylish, and powerful",1527.23,True,6135,368,1.4,Not worth the price|Amazing features|Battery lasts long
P1067,Gaming Laptop 16GB RAM,Laptops,"Compact, stylish, and powerful",1208.44,True,342,54,1.1,Would buy again|Great value for money|Amazing features
P1068,Mesh Wi-Fi System,Networking,User-friendly design and long battery life,1523.66,False,4738,95,1.1,Great value for money|Could be better|Battery lasts long
P1069,Portable Bluetooth Speaker,Audio,"Perfect for work, play, and everything in between",537.08,False,5836,241,4.1,Amazing features|Very satisfied|Not worth the price
P1070,USB-C Hub,Computer Accessories,"Compact, stylish, and powerful",435.41,True,2921,434,4.7,Very satisfied|Highly recommend|Poor customer service
P1071,"Ultrabook 13""",Laptops,"Perfect for work, play, and everything in between",1597.66,True,6698,20,1.4,Would buy again|Battery lasts long|Not worth the price
P1072,Wireless Gaming Mouse,Gaming,User-friendly design and long battery life,847.12,False,4451,110,1.1,Amazing features|Excellent quality|Not worth the price
P1073,"4K UHD Smart TV 55""",TVs,"Perfect for work, play, and everything in between",1785.1,True,3672,461,1.7,Amazing features|Not worth the price|Very satisfied
P1074,Mesh Wi-Fi System,Networking,User-friendly design and long battery life,148.7,False,1456,161,1.4,Battery lasts long|Excellent quality|Could be better
P1075,Smartphone 128GB,Mobile Phones,"Compact, stylish, and powerful",1009.39,True,9661,159,1.1,Amazing features|Very satisfied|Excellent quality
P1076,Mesh Wi-Fi System,Networking,Equipped with the latest technology,1136.66,True,8676,430,1.4,Highly recommend|Great value for money|Not worth the price
P1077,Smartphone 128GB,Mobile Phones,Equipped with the latest technology,1220.63,True,4715,289,2.8,Battery lasts long|Highly recommend|Very satisfied
P1078,Smart Glasses,Wearables,"Compact, stylish, and powerful",145.81,True,560,401,2.8,Highly recommend|Great value for money|Excellent quality
P1079,Wireless Gaming Mouse,Gaming,User-friendly design and long battery life,772.72,True,1844,278,2.5,Highly recommend|Poor customer service|Great value for money
P1080,Fitness Tracker,Wearables,User-friendly design and long battery life,1507.16,False,9758,42,2.1,Would buy again|Amazing features|Battery lasts long
P1081,Smart Glasses,Wearables,Equipped with the latest technology,1443.25,False,9852,434,3.9,Highly recommend|Excellent quality|Very satisfied
P1082,Smart Microwave,Home Appliances,Equipped with the latest technology,1721.43,False,9754,301,3.6,Very satisfied|Poor customer service|Excellent quality
P1083,Robot Vacuum,Home Appliances,High performance and reliability for daily use,198.73,False,421,307,1.4,Very satisfied|Could be better|Would buy again
P1084,"4K UHD Smart TV 55""",TVs,Equipped with the latest technology,677.85,True,796,394,1.5,Could be better|Poor customer service|Great value for money
P1085,Portable Bluetooth Speaker,Audio,High performance and reliability for daily use,1650.63,False,1152,295,1.4,Excellent quality|Poor customer service|Amazing features
P1086,Mechanical Gaming Keyboard,Gaming,High performance and reliability for daily use,557.77,False,2771,469,3.5,Excellent quality|Would buy again|Could be better
P1087,USB-C Hub,Computer Accessories,Equipped with the latest technology,1387.59,True,4633,213,1.4,Great value for money|Battery lasts long|Not worth the price
P1088,External SSD 1TB,Computer Accessories,"Perfect for work, play, and everything in between",1084.43,True,2756,477,3.9,Not worth the price|Amazing features|Battery lasts long
P1089,Budget Smartphone,Mobile Phones,"Perfect for work, play, and everything in between",1415.43,False,6588,395,4.2,Could be better|Not worth the price|Poor customer service
P1090,Mirrorless Camera,Cameras,Equipped with the latest technology,1579.47,False,1133,376,1.8,Poor customer service|Very satisfied|Could be better
P1091,Mechanical Gaming Keyboard,Gaming,"Compact, stylish, and powerful",636.51,False,6369,441,3.3,Poor customer service|Great value for money|Battery lasts long
P1092,"Business Laptop 15""",Laptops,"Perfect for work, play, and everything in between",343.86,False,5704,208,4.6,Excellent quality|Not worth the price|Amazing features
P1093,Fitness Tracker,Wearables,High performance and reliability for daily use,1061.44,True,4455,20,5.0,Highly recommend|Poor customer service|Would buy again
P1094,Fitness Tracker,Wearables,"Compact, stylish, and powerful",964.85,False,9430,447,1.1,Amazing features|Great value for money|Could be better
P1095,Fitness Tracker,Wearables,"Compact, stylish, and powerful",1491.39,False,6040,276,3.4,Amazing features|Poor customer service|Great value for money
P1096,Mechanical Gaming Keyboard,Gaming,"Compact, stylish, and powerful",1705.33,True,8692,304,4.9,Excellent quality|Very satisfied|Battery lasts long
P1097,Ergonomic Mouse,Computer Accessories,Equipped with the latest technology,1320.17,False,426,333,2.4,Could be better|Not worth the price|Would buy again
P1098,"OLED TV 65""",TVs,User-friendly design and long battery life,933.13,False,733,373,2.8,Battery lasts long|Excellent quality|Great value for money
P1099,"OLED TV 65""",TVs,"Perfect for work, play, and everything in between",1010.45,False,2722,311,1.9,Excellent quality|Very satisfied|Highly recommend
P1100,Fitness Tracker,Wearables,"Perfect for work, play, and everything in between",1788.98,False,6934,291,2.6,Amazing features|Could be better|Would buy again
P1101,Smart Glasses,Wearables,High performance and reliability for daily use,567.99,True,3223,250,1.7,Excellent quality|Could be better|Amazing features
P1102,Smart Microwave,Home Appliances,Equipped with the latest technology,1522.47,True,5897,325,1.5,Battery lasts long|Poor customer service|Not worth the price
P1103,Gaming Console,Gaming,"Perfect for work, play, and everything in between",1320.39,True,275,103,3.7,Excellent quality|Great value for money|Very satisfied
P1104,"OLED TV 65""",TVs,Equipped with the latest technology,1897.46,False,5825,378,4.7,Very satisfied|Great value for money|Could be better
P1105,"Business Laptop 15""",Laptops,"Compact, stylish, and powerful",1660.88,True,1850,270,2.2,Would buy again|Could be better|Great value for money
P1106,"4K UHD Smart TV 55""",TVs,"Perfect for work, play, and everything in between",987.89,True,6885,28,1.8,Could be better|Very satisfied|Excellent quality
P1107,Gaming Laptop 16GB RAM,Laptops,"Compact, stylish, and powerful",755.82,True,5006,406,2.4,Would buy again|Great value for money|Could be better
P1108,Soundbar with Subwoofer,Audio,High performance and reliability for daily use,1805.04,False,1610,383,4.1,Very satisfied|Battery lasts long|Great value for money
P1109,5G Android Phone,Mobile Phones,"Compact, stylish, and powerful",293.09,False,5348,442,1.6,Excellent quality|Poor customer service|Great value for money
P1110,"Smart LED TV 43""",TVs,Equipped with the latest technology,487.26,False,9478,280,2.2,Great value for money|Not worth the price|Would buy again
P1111,DSLR Camera,Cameras,"Compact, stylish, and powerful",830.59,False,580,352,3.0,Great value for money|Amazing features|Would buy again
P1112,"Business Laptop 15""",Laptops,High performance and reliability for daily use,1939.38,True,5859,499,3.7,Highly recommend|Very satisfied|Amazing features
P1113,"Ultrabook 13""",Laptops,User-friendly design and long battery life,416.97,False,596,129,4.7,Great value for money|Would buy again|Highly recommend
P1114,"Ultrabook 13""",Laptops,High performance and reliability for daily use,935.96,True,1162,278,4.9,Could be better|Not worth the price|Battery lasts long
P1115,Fitness Tracker,Wearables,High performance and reliability for daily use,1737.08,False,6905,67,4.1,Excellent quality|Great value for money|Would buy again
P1116,"4K UHD Smart TV 55""",TVs,High performance and reliability for daily use,1827.58,False,3856,220,2.1,Highly recommend|Amazing features|Excellent quality
P1117,5G Android Phone,Mobile Phones,High performance and reliability for daily use,1847.92,True,5215,113,2.2,Poor customer service|Would buy again|Could be better
P1118,Smart Glasses,Wearables,Equipped with the latest technology,1168.05,False,7668,219,3.5,Could be better|Very satisfied|Amazing features
P1119,Network Switch,Networking,High performance and reliability for daily use,71.06,False,6349,374,2.0,Not worth the price|Highly recommend|Excellent quality
P1120,Network Switch,Networking,"Compact, stylish, and powerful",1084.47,True,5158,369,3.8,Amazing features|Great value for money|Battery lasts long
P1121,Budget Smartphone,Mobile Phones,User-friendly design and long battery life,1653.43,True,1557,130,3.9,Could be better|Poor customer service|Not worth the price
P1122,USB-C Hub,Computer Accessories,"Perfect for work, play, and everything in between",1174.25,False,3413,471,4.3,Excellent quality|Poor customer service|Highly recommend
P1123,Wireless Gaming Mouse,Gaming,"Perfect for work, play, and everything in between",1813.3,True,7079,151,2.2,Battery lasts long|Poor customer service|Great value for money
P1124,"Business Laptop 15""",Laptops,High performance and reliability for daily use,1910.64,False,8992,365,3.7,Excellent quality|Highly recommend|Very satisfied
P1125,Air Purifier,Home Appliances,"Perfect for work, play, and everything in between",520.73,True,4569,237,4.4,Not worth the price|Battery lasts long|Amazing features
P1126,Mirrorless Camera,Cameras,"Compact, stylish, and powerful",731.3,True,8710,227,3.0,Excellent quality|Amazing features|Very satisfied
P1127,USB-C Hub,Computer Accessories,"Perfect for work, play, and everything in between",382.08,True,5446,239,2.1,Not worth the price|Very satisfied|Excellent quality
P1128,Mechanical Gaming Keyboard,Gaming,Equipped with the latest technology,481.56,True,5585,337,1.8,Battery lasts long|Highly recommend|Great value for money
P1129,Soundbar with Subwoofer,Audio,"Perfect for work, play, and everything in between",1360.99,True,1198,256,3.7,Poor customer service|Excellent quality|Would buy again
P1130,Ergonomic Mouse,Computer Accessories,"Compact, stylish, and powerful",1101.89,False,6609,111,1.3,Could be better|Great value for money|Amazing features
P1131,Ergonomic Mouse,Computer Accessories,"Compact, stylish, and powerful",42.96,False,8673,376,4.1,Would buy again|Amazing features|Excellent quality
P1132,USB-C Hub,Computer Accessories,"Compact, stylish, and powerful",1952.11,False,1887,86,3.5,Very satisfied|Highly recommend|Not worth the price
P1133,Gaming Laptop 16GB RAM,Laptops,High performance and reliability for daily use,302.84,False,9194,197,1.5,Great value for money|Battery lasts long|Not worth the price
P1134,Smartwatch with GPS,Wearables,High performance and reliability for daily use,1988.2,True,3731,193,3.6,Highly recommend|Battery lasts long|Excellent quality
P1135,"OLED TV 65""",TVs,High performance and reliability for daily use,564.53,False,4952,321,3.4,Great value for money|Battery lasts long|Would buy again
P1136,DSLR Camera,Cameras,User-friendly design and long battery life,909.36,False,9113,481,3.4,Battery lasts long|Highly recommend|Excellent quality
P1137,Wireless Noise Cancelling Headphones,Audio,"Perfect for work, play, and everything in between",1007.5,False,7610,95,1.2,Very satisfied|Would buy again|Amazing features
P1138,Ergonomic Mouse,Computer Accessories,"Perfect for work, play, and everything in between",418.03,False,2070,436,2.4,Poor customer service|Highly recommend|Amazing features
P1139,External SSD 1TB,Computer Accessories,"Perfect for work, play, and everything in between",23.74,False,3343,279,4.0,Would buy again|Poor customer service|Amazing features
P1140,USB-C Hub,Computer Accessories,User-friendly design and long battery life,1334.67,True,4190,161,4.5,Not worth the price|Great value for money|Very satisfied
P1141,DSLR Camera,Cameras,High performance and reliability for daily use,1972.45,False,308,349,1.1,Battery lasts long|Highly recommend|Would buy again
P1142,Network Switch,Networking,User-friendly design and long battery life,82.22,False,8168,246,4.6,Not worth the price|Great value for money|Battery lasts long
P1143,"4K UHD Smart TV 55""",TVs,"Compact, stylish, and powerful",905.24,False,3917,242,2.9,Great value for money|Would buy again|Could be better
P1144,Smartphone 128GB,Mobile Phones,"Perfect for work, play, and everything in between",982.02,True,8492,467,1.7,Excellent quality|Amazing features|Not worth the price
P1145,"Ultrabook 13""",Laptops,High performance and reliability for daily use,1175.96,False,1134,94,1.2,Highly recommend|Would buy again|Battery lasts long
P1146,Robot Vacuum,Home Appliances,"Compact, stylish, and powerful",1028.64,True,1044,23,1.2,Very satisfied|Amazing features|Highly recommend
P1147,Air Purifier,Home Appliances,"Perfect for work, play, and everything in between",365.14,True,9100,62,1.5,Could be better|Poor customer service|Excellent quality
P1148,Soundbar with Subwoofer,Audio,User-friendly design and long battery life,747.19,False,5627,98,2.5,Very satisfied|Battery lasts long|Great value for money
P1149,"Ultrabook 13""",Laptops,Equipped with the latest technology,1885.31,False,4468,211,2.3,Could be better|Would buy again|Poor customer service
P1150,Smartwatch with GPS,Wearables,User-friendly design and long battery life,220.97,True,5519,265,1.8,Would buy again|Great value for money|Very satisfied
P1151,"OLED TV 65""",TVs,User-friendly design and long battery life,977.29,True,5332,47,3.7,Very satisfied|Would buy again|Highly recommend
P1152,Wireless Gaming Mouse,Gaming,"Compact, stylish, and powerful",977.7,True,2052,412,4.3,Battery lasts long|Excellent quality|Amazing features
P1153,Gaming Console,Gaming,Equipped with the latest technology,605.39,False,4093,315,3.1,Excellent quality|Battery lasts long|Great value for money
P1154,External SSD 1TB,Computer Accessories,Equipped with the latest technology,1671.33,True,2259,444,3.9,Excellent quality|Not worth the price|Battery lasts long
P1155,Gaming Console,Gaming,High performance and reliability for daily use,1445.23,True,7304,449,4.9,Poor customer service|Not worth the price|Would buy again
P1156,Portable Bluetooth Speaker,Audio,"Compact, stylish, and powerful",1691.68,False,5462,365,3.9,Could be better|Highly recommend|Great value for money
P1157,Wireless Noise Cancelling Headphones,Audio,"Compact, stylish, and powerful",947.56,False,7036,346,1.6,Excellent quality|Great value for money|Would buy again
P1158,Wireless Gaming Mouse,Gaming,Equipped with the latest technology,726.8,False,2391,220,1.5,Not worth the price|Would buy again|Battery lasts long
P1159,Network Switch,Networking,"Compact, stylish, and powerful",218.63,True,6449,291,2.1,Not worth the price|Poor customer service|Highly recommend
P1160,Smart Glasses,Wearables,"Perfect for work, play, and everything in between",1431.75,True,2648,373,2.8,Could be better|Would buy again|Highly recommend
P1161,"Smart LED TV 43""",TVs,Equipped with the latest technology,1941.71,False,8532,322,2.9,Would buy again|Great value for money|Battery lasts long
P1162,Soundbar with Subwoofer,Audio,User-friendly design and long battery life,962.36,True,2399,241,3.2,Poor customer service|Highly recommend|Not worth the price
P1163,Soundbar with Subwoofer,Audio,"Perfect for work, play, and everything in between",883.19,False,7276,465,4.1,Very satisfied|Great value for money|Poor customer service
P1164,Ergonomic Mouse,Computer Accessories,Equipped with the latest technology,453.52,False,4956,343,4.2,Could be better|Great value for money|Amazing features
P1165,Smart Microwave,Home Appliances,Equipped with the latest technology,667.54,False,3652,451,4.0,Battery lasts long|Amazing features|Highly recommend
P1166,Gaming Console,Gaming,High performance and reliability for daily use,1217.15,False,500,452,4.2,Could be better|Would buy again|Battery lasts long
P1167,DSLR Camera,Cameras,"Perfect for work, play, and everything in between",1998.08,False,4691,457,2.6,Great value for money|Not worth the price|Excellent quality
P1168,5G Android Phone,Mobile Phones,User-friendly design and long battery life,914.85,False,2760,152,4.1,Great value for money|Not worth the price|Would buy again
P1169,Wireless Noise Cancelling Headphones,Audio,High performance and reliability for daily use,904.7,False,6822,487,1.7,Poor customer service|Great value for money|Highly recommend
P1170,Wi-Fi 6 Router,Networking,"Compact, stylish, and powerful",1268.22,True,6291,194,2.3,Not worth the price|Would buy again|Amazing features
P1171,External SSD 1TB,Computer Accessories,"Compact, stylish, and powerful",1682.5,True,8981,214,1.4,Poor customer service|Battery lasts long|Excellent quality
P1172,Mechanical Gaming Keyboard,Gaming,Equipped with the latest technology,1993.09,False,189,249,4.8,Excellent quality|Very satisfied|Amazing features
P1173,Ergonomic Mouse,Computer Accessories,High performance and reliability for daily use,802.67,False,410,73,3.2,Great value for money|Very satisfied|Poor customer service
P1174,"OLED TV 65""",TVs,"Perfect for work, play, and everything in between",948.7,True,3733,314,3.4,Highly recommend|Not worth the price|Excellent quality
P1175,Air Purifier,Home Appliances,User-friendly design and long battery life,1717.14,True,5134,449,1.2,Battery lasts long|Amazing features|Poor customer service
P1176,External SSD 1TB,Computer Accessories,"Compact, stylish, and powerful",463.04,True,2459,259,4.5,Battery lasts long|Highly recommend|Would buy again
P1177,Action Camera,Cameras,"Perfect for work, play, and everything in between",1867.65,True,6404,230,3.0,Highly recommend|Not worth the price|Very satisfied
P1178,Robot Vacuum,Home Appliances,User-friendly design and long battery life,712.23,True,2124,463,2.3,Could be better|Would buy again|Highly recommend
P1179,Gaming Laptop 16GB RAM,Laptops,High performance and reliability for daily use,1229.29,True,8162,491,4.1,Very satisfied|Battery lasts long|Could be better
P1180,Wi-Fi 6 Router,Networking,User-friendly design and long battery life,597.62,False,1874,274,4.0,Great value for money|Amazing features|Would buy again
P1181,"Business Laptop 15""",Laptops,Equipped with the latest technology,909.96,False,9456,148,3.0,Poor customer service|Would buy again|Very satisfied
P1182,"Business Laptop 15""",Laptops,"Perfect for work, play, and everything in between",987.28,True,8709,239,2.7,Excellent quality|Very satisfied|Would buy again
P1183,Ergonomic Mouse,Computer Accessories,High performance and reliability for daily use,987.39,True,4180,185,1.9,Very satisfied|Excellent quality|Great value for money
P1184,Smartphone 128GB,Mobile Phones,High performance and reliability for daily use,1128.44,False,3765,11,1.8,Poor customer service|Great value for money|Very satisfied
P1185,Ergonomic Mouse,Computer Accessories,Equipped with the latest technology,172.83,True,9082,177,3.3,Poor customer service|Excellent quality|Battery lasts long
P1186,Smart Microwave,Home Appliances,Equipped with the latest technology,1236.56,False,8172,83,1.1,Amazing features|Could be better|Would buy again
P1187,5G Android Phone,Mobile Phones,Equipped with the latest technology,604.81,False,8556,235,1.6,Would buy again|Great value for money|Poor customer service
P1188,Smartphone 128GB,Mobile Phones,High performance and reliability for daily use,1726.04,False,3882,339,4.6,Great value for money|Could be better|Amazing features
P1189,Mechanical Gaming Keyboard,Gaming,User-friendly design and long battery life,587.04,False,3367,321,2.5,Poor customer service|Not worth the price|Amazing features
P1190,Wireless Noise Cancelling Headphones,Audio,Equipped with the latest technology,958.94,True,2961,369,4.9,Poor customer service|Highly recommend|Excellent quality
P1191,5G Android Phone,Mobile Phones,High performance and reliability for daily use,82.42,True,3948,123,4.2,Poor customer service|Excellent quality|Would buy again
P1192,Fitness Tracker,Wearables,User-friendly design and long battery life,1271.5,True,1928,84,1.7,Battery lasts long|Amazing features|Highly recommend
P1193,"Smart LED TV 43""",TVs,Equipped with the latest technology,1945.28,False,2320,47,3.8,Poor customer service|Excellent quality|Amazing features
P1194,"Ultrabook 13""",Laptops,Equipped with the latest technology,454.35,False,5772,142,3.0,Poor customer service|Could be better|Would buy again
P1195,Budget Smartphone,Mobile Phones,High performance and reliability for daily use,1376.21,True,3548,352,2.8,Could be better|Poor customer service|Highly recommend
P1196,Smartwatch with GPS,Wearables,Equipped with the latest technology,1909.73,True,4163,358,1.6,Poor customer service|Highly recommend|Battery lasts long
P1197,"OLED TV 65""",TVs,"Compact, stylish, and powerful",1060.52,False,7494,270,4.7,Not worth the price|Could be better|Very satisfied
P1198,"Business Laptop 15""",Laptops,Equipped with the latest technology,953.03,False,1879,283,2.5,Highly recommend|Poor customer service|Would buy again
P1199,Smartwatch with GPS,Wearables,"Compact, stylish, and powerful",1000.29,False,7631,3,4.4,Battery lasts long|Would buy again|Excellent quality
P1200,Portable Bluetooth Speaker,Audio,"Perfect for work, play, and everything in between",1722.62,False,6361,433,3.8,Amazing features|Battery lasts long|Great value for money
P1201,Ergonomic Mouse,Computer Accessories,User-friendly design and long battery life,838.44,False,5206,449,1.0,Highly recommend|Amazing features|Could be better
P1202,Action Camera,Cameras,"Perfect for work, play, and everything in between",554.24,False,2205,314,3.9,Battery lasts long|Could be better|Highly recommend
P1203,Network Switch,Networking,"Perfect for work, play, and everything in between",1765.43,True,3021,472,1.6,Not worth the price|Poor customer service|Very satisfied
